# machine monitor started pid=2781965 interval=90s 2026-06-12 01:21:58
# columns: time | load1 | mem_avail_gib | data_free_gib | lsmgraph_release_procs(pid:rss_gib:state) | correctness_script_alive
2026-06-12 03:37:06 | 6.94 | 337.1 | 266 | 2835863:0.0:S,2835864:99.2:R | no
2026-06-12 03:38:36 | 6.38 | 352.5 | 264 | 2835863:0.0:S,2835864:83.7:R | no
2026-06-12 03:40:06 | 5.71 | 351.5 | 262 | 2835863:0.0:S,2835864:84.8:R | no
2026-06-12 03:41:36 | 6.23 | 349.7 | 260 | 2835863:0.0:S,2835864:86.6:R | no
2026-06-12 03:43:07 | 6.15 | 347.8 | 257 | 2835863:0.0:S,2835864:88.4:R | no
2026-06-12 03:44:37 | 6.32 | 346.1 | 254 | 2835863:0.0:S,2835864:90.1:R | no
2026-06-12 03:46:07 | 6.66 | 343.8 | 251 | 2835863:0.0:S,2835864:91.8:R | no
2026-06-12 03:47:37 | 7.33 | 341.4 | 248 | 2835863:0.0:S,2835864:94.1:R | no
2026-06-12 03:49:07 | 7.66 | 340.0 | 245 | 2835863:0.0:S,2835864:95.5:R | no
2026-06-12 03:50:37 | 7.60 | 338.2 | 242 | 2835863:0.0:S,2835864:97.3:R | no
2026-06-12 03:52:07 | 7.41 | 334.9 | 239 | 2835863:0.0:S,2835864:99.9:R | no
2026-06-12 03:53:37 | 7.37 | 332.8 | 236 | 2835863:0.0:S,2835864:102.1:R | no
2026-06-12 03:55:07 | 8.08 | 329.9 | 233 | 2835863:0.0:S,2835864:105.0:R | no
2026-06-12 03:56:37 | 8.00 | 289.1 | 226 | 2835863:0.0:S,2835864:145.7:R | no
2026-06-12 03:58:08 | 7.83 | 280.8 | 222 | 2835863:0.0:S,2835864:166.5:R | no
2026-06-12 03:59:38 | 5.17 | 289.8 | 222 | 2835863:0.0:S,2835864:156.9:R | no
2026-06-12 04:01:08 | 4.57 | 289.8 | 222 | 2835863:0.0:S,2835864:156.9:R | no
2026-06-12 04:02:38 | 4.12 | 289.4 | 222 | 2835863:0.0:S,2835864:156.9:R | no
2026-06-12 04:04:08 | 4.35 | 285.0 | 222 | 2835863:0.0:S,2835864:156.9:R | no
2026-06-12 04:05:38 | 4.33 | 285.0 | 222 | 2835863:0.0:S,2835864:156.9:R | no
2026-06-12 04:07:08 | 5.70 | 377.5 | 222 | 2835863:0.0:S,2835864:64.6:S | no
2026-06-12 04:08:38 | 5.17 | 449.1 | 288 | none | no
2026-06-12 04:10:08 | 4.93 | 446.8 | 351 | 3057390:0.0:S,3057391:2.3:R | no
2026-06-12 04:11:38 | 4.39 | 446.6 | 348 | 3057390:0.0:S,3057391:2.4:R | no
2026-06-12 04:13:08 | 4.52 | 446.2 | 345 | 3057390:0.0:S,3057391:2.8:R | no
2026-06-12 04:14:38 | 4.69 | 446.0 | 343 | 3057390:0.0:S,3057391:3.0:R | no
2026-06-12 04:16:09 | 4.56 | 445.8 | 340 | 3057390:0.0:S,3057391:3.2:R | no
2026-06-12 04:17:39 | 4.34 | 445.3 | 337 | 3057390:0.0:S,3057391:3.8:R | no
